Filename,Row,Columm,Mode,System,Time_M2,Time_Jimmy,Time_Louise,Time_Thelma,ARI
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,SS,M2,285.8080609,800.2625705,1048.343967,944.3098332,1.34E-05
BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML,1000000,38,SS,M2,277.1047409,748.1828004,965.1558126,875.3738765,-0.012660383
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,SS,M2,320.6839821,929.9835481,1208.978613,1106.680422,-0.001723178
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,SS,M2,240.4861982,673.361355,882.103375,794.5663989,0.011122466
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,SS,M2,233.937139,631.6302753,814.8030551,739.0074221,0.056647821
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,SS,M2,207.576263,601.9711627,782.5625115,716.3456836,-0.005613243
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,SS,M2,238.7325931,668.4512607,875.6711515,788.7724876,0.025674553
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,1000000,36,SS,M2,113.286684,305.8740468,394.5775204,357.8726348,0.000815606
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,1000000,36,SS,M2,148.9348748,431.9111369,561.484478,513.9742529,1.23E-05
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,1000000,36,SS,M2,118.4914889,331.7761689,434.6267813,391.4958793,4.90E-05
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,1000000,36,SS,M2,116.3376062,314.1115367,405.2038824,367.510498,-0.000232894
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,1000000,36,SS,M2,128.1113648,371.5229579,482.9798453,442.1123199,-2.86E-05
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,1000000,36,SS,M2,118.0976179,330.6733301,433.1820625,390.1945295,-0.000540526
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,1000000,36,SS,M2,115.2042599,311.0515017,401.2564372,363.930257,0.004101494
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,36,SS,M2,115.7582519,335.6989305,436.4086097,399.4817273,-8.14E-05
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,36,SS,M2,119.036191,333.3013348,436.6247486,393.2955751,0.00259201
BNG(letter_COMMA_1000_COMMA_1)_OpenML,1000000,16,SS,M2,146.8092659,396.3850179,511.3366731,463.770471,0.003092765
BNG(letter_COMMA_1000_COMMA_5)_OpenML,1000000,16,SS,M2,203.5948973,590.4252022,767.5527628,702.6059906,0.000711432
BNG(letter_COMMA_1000_COMMA_10)_OpenML,1000000,16,SS,M2,161.069859,450.9956052,590.8042428,532.1748141,0.000135055
BNG(letter_COMMA_5000_COMMA_1)_OpenML,1000000,16,SS,M2,148.394846,400.6660842,516.8592486,468.7793185,0.002232225
BNG(letter_COMMA_5000_COMMA_5)_OpenML,1000000,16,SS,M2,146.3138812,424.3102555,551.6033321,504.929204,0.003116002
BNG(letter_COMMA_5000_COMMA_10)_OpenML,1000000,16,SS,M2,149.1306942,417.5659438,547.0113863,492.7278136,0.002637275
BNG(letter_COMMA_10000_COMMA_1)_OpenML,1000000,16,SS,M2,152.4159386,411.5230342,530.8647141,481.48195,0.002121122
BNG(letter_COMMA_10000_COMMA_5)_OpenML,1000000,16,SS,M2,148.867626,431.7161154,561.23095,513.7421773,0.002313263
BNG(letter_COMMA_10000_COMMA_10)_OpenML,1000000,16,SS,M2,146.4549861,410.0739611,537.196889,483.8872741,0.003082025
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,69,SS,M2,219.1654541,591.7467261,763.3532766,692.3436695,0.002400977
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,69,SS,M2,229.7794158,666.3603058,866.2683976,792.9687639,0.001322017
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,1000000,69,SS,M2,217.1248057,607.949456,796.4137873,717.380358,0.014231201
