Name,Time,Memory_Physical,Memory_Virtual
python3.11,1685674504.1058428,11036.265625,153713.1109375
python3.11,1685674514.21447,10799.218359375,155850.7109375
python3.11,1685674524.293966,10619.158203125,157975.5109375
python3.11,1685674534.357237,10395.66640625,160164.3109375
python3.11,1685674544.444889,10071.181640625,162212.3109375
python3.11,1685674554.496733,9833.414453125,164349.9109375
python3.11,1685674564.5681221,9624.837109375,166513.1109375
python3.11,1685674574.6805692,9361.1609375,168650.7109375
python3.11,1685674584.78164,9139.841796875,170788.3109375
python3.11,1685674594.880924,8912.6765625,172887.5109375
python3.11,1685674604.964382,8684.71171875,175037.9109375
python3.11,1685674615.039305,8487.916796875,176996.3109375
python3.11,1685674625.117517,8170.4890625,179172.3109375
python3.11,1685674635.191133,7920.371875,181271.5109375
python3.11,1685674645.289013,7701.83671875,183345.1109375
python3.11,1685674655.4126248,7487.44609375,185482.7109375
python3.11,1685674665.508487,6994.825,187607.5109375
python3.11,1685674675.588825,6835.77890625,189604.3109375
python3.11,1685674685.644757,6673.803125,191677.9109375
python3.11,1685674695.729137,6431.78671875,193713.1109375
python3.11,1685674705.8174138,5960.037890625,195863.5109375
python3.11,1685674715.904133,5655.242578125,197962.7109375
python3.11,1685674725.9742029,5061.61171875,200215.5109375
python3.11,1685674736.064676,4911.815625,202340.3109375
python3.11,1685674746.139103,4895.993359375,204439.5109375
python3.11,1685674756.214394,4876.995703125,206538.7109375
python3.11,1685674766.294755,4911.266015625,208561.1109375
python3.11,1685674776.3986502,4909.147265625,210417.1109375
python3.11,1685674786.499986,4884.2421875,211837.9109375
python3.11,1685674796.566586,4836.231640625,212913.1109375
python3.11,1685674806.648057,4765.978125,214179.7109375
python3.11,1685674816.729846,5836.263671875,221985.9109375
python3.11,1685674826.800098,6326.772265625,232021.8109375
python3.11,1685674836.863961,5642.18828125,231561.3109375
python3.11,1685674846.9515572,6293.671875,240215.0109375
python3.11,1685674857.019346,6478.184375,263152.7109375
python3.11,1685674867.120994,4684.89375,250045.7109375
python3.11,1685674877.209599,7161.516015625,246769.7109375
python3.11,1685674887.2912672,6236.62890625,246770.4109375
python3.11,1685674897.362017,6325.909765625,246770.7109375
python3.11,1685674907.423965,6305.478515625,246771.5109375
python3.11,1685674917.5016088,6323.45,246771.8109375
python3.11,1685674927.5618181,6326.0890625,246772.7109375
python3.11,1685674937.63868,4883.383984375,216574.9109375
python3.11,1685674947.7169971,1734.35078125,79294.9109375
python3.11,1685674957.7914581,3981.88828125,57330.4109375
python3.11,1685674967.85967,3273.35625,56053.5109375
python3.11,1685674977.925805,3615.998046875,55126.5109375
python3.11,1685674987.99062,5701.37265625,57712.1109375
python3.11,1685674998.070966,6882.926953125,59363.3109375
python3.11,1685675008.1375349,7980.903125,60604.9109375
python3.11,1685675018.199767,9445.562109375,62640.1109375
python3.11,1685675028.259209,10822.105078125,64457.7109375
python3.11,1685675038.3194041,12176.69453125,66300.9109375
python3.11,1685675048.386644,13523.15078125,68208.1109375
python3.11,1685675058.456088,14814.071875,69987.3109375
python3.11,1685675068.51533,16082.5546875,71728.1109375
python3.11,1685675078.578658,17380.8640625,73468.9109375
python3.11,1685675088.642484,18759.06328125,75593.7109375
python3.11,1685675098.727626,20151.839453125,77321.7109375
python3.11,1685675108.792128,21376.192578125,79113.7109375
python3.11,1685675118.9091892,21563.43515625,80905.7109375
python3.11,1685675128.986976,21356.09296875,82812.9109375
python3.11,1685675139.0697322,21017.484765625,84604.9109375
python3.11,1685675149.1524339,20737.79609375,86268.9109375
python3.11,1685675159.235584,20498.546875,88137.7109375
python3.11,1685675169.308664,20270.96328125,90006.5109375
python3.11,1685675179.4094841,20021.922265625,91836.9109375
python3.11,1685675189.48461,19868.025,93769.7109375
python3.11,1685675199.552829,19650.251171875,95740.9109375
python3.11,1685675209.6347709,19429.683203125,97468.9109375
python3.11,1685675219.7094028,19221.966796875,99516.9109375
python3.11,1685675229.804276,18943.11484375,101206.5109375
python3.11,1685675239.905066,18683.23515625,103113.7109375
python3.11,1685675250.0091178,18473.444140625,105136.1109375
